,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Il13,0.985,0.015000000000000013,4.184590783555717,0.00095437415,6.8483474e-05,0.0,0.25,4.595845,4.7510304,2.3508728,-5.1877756,13.287807,3.739341,0.13906825,0.5464328417696321,0.05419741697416947,8.608588,0.43864682,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Pah,0.9796,0.020399999999999974,3.8716089442401334,7.8686804e-05,8.9239475e-06,0.0,0.25,4.7465467,4.5063176,3.7043228,-7.6086826,19.493263,0.33439657,0.005304428,0.1175767237943398,0.004612546125461255,0.7477048,0.032350466,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gm50309,0.9792,0.02080000000000004,3.8517824544940904,8.325131e-05,3.9436827e-06,0.0,0.25,4.746531,5.0491896,4.0483274,-11.1344385,16.15434,0.30171415,0.0043819193,0.11677959346353071,0.003920664206642065,0.6423184,0.012550696,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gm26537,0.9792,0.02080000000000004,3.8517824544940904,8.8426794e-05,1.3083525e-05,0.0,0.25,4.4959574,4.572937,2.9668283,-7.002219,13.370991,0.2271822,0.021217708,0.1371064168991623,0.01476014760147603,0.6177248,0.12567057,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Csn2,0.9786,0.021399999999999975,3.822731599756288,0.0034810905,0.00061439094,0.0,0.25,3.4573016,3.6571026,2.0845354,-4.633707,9.38514,18.821524,2.0691934,0.8441610203268656,0.20249077490775147,42.90876,5.6111116,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gm15056,0.977,0.02300000000000002,3.7489920115665325,0.00043583225,5.4830372e-05,0.0,0.25,3.8979664,3.9221067,2.508164,-6.489894,13.233139,2.0059755,0.10355165,0.21642088481466593,0.022601476014760175,5.3139615,0.3383216,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Cldn13,0.9766,0.023399999999999976,3.731340712153176,0.00044165348,5.1658757e-05,0.0,0.25,3.7924604,3.9629302,2.6689992,-8.151726,13.275276,1.829012,0.09893912,0.3419689119170963,0.035516605166051644,3.8873878,0.26928163,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gad1,0.9762,0.023800000000000043,3.7139814928514396,0.000118996155,2.3405273e-05,0.0,0.25,4.5202556,4.627552,3.010665,-4.641756,13.0989895,0.4121174,0.043588575,0.17178158628935736,0.023293357933579364,0.94457036,0.1599627,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Pla2g1b,0.9758,0.0242,3.6969046112440425,0.00024552544,3.9251136e-05,0.0,0.25,3.9728477,4.2460313,2.9703383,-8.340747,14.293244,1.1534483,0.10793357,0.13232363491430782,0.02444649446494468,2.5074139,0.33300418,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Rarres2,0.9758,0.0242,3.6969046112440425,0.0002961087,2.8701323e-05,0.0,0.25,4.4870214,4.457425,3.02293,-6.419054,15.241011,1.4176952,0.04012915,0.13949780789158955,0.015682656826568282,3.6198082,0.1306168,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Crtac1,0.9752,0.024800000000000044,3.671798532024705,0.00033498424,4.6294226e-05,0.0,0.25,4.5327725,4.743245,2.9187965,-4.576132,13.734815,1.2435235,0.058579393,0.32722200079712827,0.029520295202952067,2.9464614,0.19941123,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Saa2,0.975,0.025000000000000022,3.663561256386136,0.00036479344,0.000103324855,0.0,0.25,3.4312813,3.7899451,3.2255876,-12.001241,12.439772,1.4192894,0.2790594,0.12793941809485787,0.03828413284132836,3.0832841,0.65268546,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gm29051,0.9748,0.0252,3.65538794066687,6.473345e-05,8.163348e-06,0.0,0.25,4.382046,4.533932,3.0222962,-6.3094883,13.890275,0.20565978,0.009916972,0.10123555201275362,0.006918819188191885,0.4845815,0.032034818,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Hamp,0.9746,0.025399999999999978,3.6472775729448257,0.0012149409,0.00033600527,0.0,0.25,3.42004,3.7452922,2.6035337,-7.733299,10.267983,6.7497225,1.6861187,0.44639298525308596,0.09155904059040514,15.537546,4.0550313,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
1810064F22Rik,0.974,0.026000000000000023,3.623314391272682,0.0002179476,4.1759093e-05,0.0,0.25,3.271786,3.3463845,2.0013294,-4.05558,8.566248,0.79434335,0.1266144,0.29095257074531505,0.051891143911438876,2.1431499,0.42149037,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gstm6,0.9738,0.0262,3.6154461615712816,0.00013602487,1.4146396e-05,0.0,0.25,4.0923743,4.205052,2.6869316,-6.0185833,11.808888,0.39338487,0.019372689,0.16221602231964838,0.01476014760147603,0.9909777,0.06160869,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Stkld1,0.9736,0.02639999999999998,3.607636163004399,0.00032497308,2.8766664e-05,0.0,0.25,3.5499284,3.5519643,2.1432772,-5.310507,10.80771,1.3423642,0.048431773,0.42686329214826346,0.035747232472324704,3.1162503,0.222178,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Il12a,0.9734,0.026599999999999957,3.599883515945192,0.0007089838,8.278489e-05,0.0,0.25,3.6159275,3.717122,2.240896,-3.2637272,12.8566885,2.5815039,0.11761995,0.4595456357114358,0.05050738007380052,6.784395,0.39718458,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Dhh,0.9734,0.026599999999999957,3.599883515945192,8.407732e-05,1.0889891e-05,0.0,0.25,3.2485435,3.3419342,2.054558,-4.1474,10.560048,0.3730579,0.023523973,0.18453567158230266,0.019833948339483418,0.8751408,0.09028021,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Apod,0.973,0.027000000000000024,3.5845468560888656,0.0002949392,3.087678e-05,0.0,0.25,3.769229,4.0106754,2.6806223,-8.128752,11.213628,1.436428,0.080027655,0.163411717815862,0.024907749077490805,3.162661,0.22408932,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Vmo1,0.9726,0.02739999999999998,3.569429529893944,0.0014837367,0.00024737278,0.0,0.25,3.6770122,4.0758843,2.5919652,-8.169569,10.3034115,8.169423,0.82080185,0.6767636508569351,0.1404520295202947,18.478235,2.1568096,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Cxcl3,0.9724,0.027599999999999958,3.561951117683924,0.00042650834,0.0002398929,0.0,0.25,3.3789036,3.920879,3.420214,-9.769586,12.239164,1.4328414,0.67273986,0.1351135910721396,0.0740313653136526,3.4310982,1.8940578,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gm48239,0.9724,0.027599999999999958,3.561951117683924,0.001061476,0.00023668537,0.0,0.25,3.2562141,3.423956,2.1657426,-5.1720047,8.71342,4.114788,0.57264847,0.6735751295336984,0.13676199261992553,10.3287325,1.8886348,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Aire,0.972,0.028000000000000025,3.5471509474305067,0.0014812591,0.00031962947,0.0,0.25,3.3764384,3.7121706,2.358802,-5.2266426,9.826571,6.881258,0.97993433,0.752889597449213,0.17735239852398646,16.916431,3.1946099,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Unc93a,0.9716,0.02839999999999998,3.532554710140545,0.00021466878,3.3935543e-05,0.0,0.25,3.5442004,3.4505043,2.2957659,-5.167963,10.824812,0.8003231,0.047048025,0.36628138700677326,0.03228782287822881,2.1084032,0.1744562,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gm29461,0.9714,0.02859999999999996,3.525331272729971,0.0009432419,0.00015856342,0.0,0.25,3.7921808,3.9897475,2.5352578,-6.4263306,12.868834,3.9370291,0.31365338,0.6667995217218202,0.08464022140221335,9.4282875,0.9928465,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Slc51a,0.9714,0.02859999999999996,3.525331272729971,0.00013917526,3.1643827e-05,0.0,0.25,3.882816,4.0752926,3.5517676,-10.791828,13.902657,0.4515752,0.03021217,0.13670785173375777,0.015913284132841345,1.0468618,0.07624569,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Mpo,0.9712,0.028800000000000048,3.5181566962377104,0.00014694151,1.9727733e-05,0.0,0.25,3.8681798,3.9211597,2.7691982,-5.310752,13.083216,0.6472708,0.04428047,0.12475089677162153,0.017988929889298913,1.4589148,0.10743543,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Gm47922,0.971,0.029000000000000026,3.5110303037759842,0.00055890623,9.00715e-05,0.0,0.25,2.8345482,2.8623962,1.9896526,-5.007223,10.161767,2.1917052,0.09432654,0.502192108409722,0.05488929889298865,5.869039,0.37384984,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Cntn1,0.971,0.029000000000000026,3.5110303037759842,0.00015848216,2.6347456e-05,0.0,0.25,3.5886247,3.563754,2.529143,-6.3853016,13.648307,0.4328427,0.028597774,0.15105619768832124,0.01614391143911441,1.1894208,0.10993777,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Dppa3,0.9706,0.02939999999999998,3.4969194327933892,0.00041445222,3.7228358e-05,0.0,0.25,3.4792235,3.4498997,2.5074444,-8.226061,13.52644,2.9206862,0.09594091,0.17297728178557098,0.02513837638376387,6.854245,0.35708594,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Prg3,0.9702,0.02980000000000005,3.4829935170364954,0.0004097159,8.93062e-05,0.0,0.25,3.6480753,3.687776,2.943755,-7.3485966,13.831843,1.4344349,0.15267529,0.1741729772817846,0.02606088560885612,3.2522776,0.4147341,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Ces1f,0.9698,0.030200000000000005,3.469247619476059,0.00012572539,2.0790392e-05,0.0,0.25,3.788377,3.7619324,2.9799783,-6.741829,13.4530325,0.41291425,0.023062723,0.11837385412514888,0.0124538745387454,0.9402542,0.06709956,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Klk1b11,0.9698,0.030200000000000005,3.469247619476059,0.00042317444,0.000121199366,0.0,0.25,3.7417195,4.01676,3.398127,-7.558131,15.032802,1.6054186,0.32449272,0.14826624153048945,0.041743542435424254,3.5771675,0.88606274,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Defa30,0.9696,0.030399999999999983,3.4624406882690915,0.00032402016,5.4777305e-05,0.0,0.25,3.4190817,3.535317,2.5728104,-5.3235035,11.168974,1.4850526,0.1206181,0.16381028298126654,0.026291512915129184,3.5742993,0.31162935,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Marc1,0.9696,0.030399999999999983,3.4624406882690915,0.0008360566,0.00013838653,0.0,0.25,3.1416109,3.1713681,1.8055754,-3.385892,8.752528,3.2606628,0.2520752,0.6751693901953167,0.11923431734317229,8.110623,0.95104134,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Prg2,0.9694,0.03059999999999996,3.4556769979712687,0.0004894654,0.00014966002,0.0,0.25,3.3594782,3.5910401,2.5562258,-6.591161,10.824142,2.3475475,0.81826556,0.3176564368274193,0.06342250922509186,5.0745096,2.2242956,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Cilp,0.9694,0.03059999999999996,3.4556769979712687,0.00017425696,2.9908753e-05,0.0,0.25,4.2576857,4.4207926,3.6107063,-8.994769,16.619814,0.6050229,0.03482473,0.11917098445595796,0.009686346863468642,1.4558104,0.10260732,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Rbfox3,0.9692,0.03080000000000005,3.4489559846053557,9.969845e-05,1.4057945e-05,0.0,0.25,3.2923353,3.2991037,2.4450724,-5.594324,12.823898,0.37863776,0.018450176,0.15304902351534394,0.014990774907749093,0.88154846,0.099903814,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
2200002J24Rik,0.969,0.031000000000000028,3.4422770951449433,0.00025117016,4.0131723e-05,0.0,0.25,3.2907548,3.2950006,2.6694944,-6.43913,14.950661,0.7512977,0.06642073,0.22279792746113858,0.027214022140221436,2.0795703,0.26401484,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Tac2,0.969,0.031000000000000028,3.4422770951449433,0.00041073508,6.4106556e-05,0.0,0.25,3.7995074,3.9884758,2.8450956,-7.6392813,12.230287,2.2259872,0.19095938,0.14268632921482588,0.03113468634686351,4.6116023,0.57454324,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
S100a5,0.969,0.031000000000000028,3.4422770951449433,0.000103633276,1.5548369e-05,0.0,0.25,4.608403,4.6970105,3.413276,-7.58335,14.420612,0.30131572,0.03067342,0.11000398565165352,0.012684501845018462,0.71268094,0.07779145,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
Cyp26a1,0.969,0.031000000000000028,3.4422770951449433,0.00017013699,4.2372292e-05,0.0,0.25,3.2302482,3.5636215,2.8973064,-8.133318,13.151333,0.6197697,0.0961716,0.1283379832602624,0.03182656826568269,1.3698232,0.25861725,True,Aire+ mTECs vs Rest,Aire+ mTECs,Rest
