,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ccl21a,0.9934,0.00660000000000005,5.014062248556934,0.055098236,0.0034405475,0.0,0.25,5.320757,5.711167,2.003372,-1.7372093,10.785542,108.88882,5.9571443,0.9956933677863664,0.5863828289936687,841.4257,36.017475,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Tagln,0.9874,0.012599999999999945,4.361377628344464,0.008003848,0.00056458934,0.0,0.25,5.6069264,6.078014,2.457743,-2.421843,13.72243,11.830292,0.6226258,0.805340223944861,0.1699507389162581,87.097626,4.703056,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Acta2,0.9874,0.012599999999999945,4.361377628344464,0.005799972,0.0005607092,0.0,0.25,4.5299544,4.7681303,2.1173577,-2.9854054,10.34259,8.508178,0.716927,0.633936261843234,0.18895144264602712,62.303444,4.1579485,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Stmn2,0.9858,0.01419999999999999,4.240210835583005,0.0007445166,8.825635e-05,0.0,0.25,3.5929503,3.5720396,1.7846105,-2.3964643,10.100559,0.9474597,0.15605235,0.17398794142980192,0.05295566502463037,6.6506486,0.5433708,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Id1,0.9822,0.017800000000000038,4.010595944690734,0.0030545304,0.00042966957,0.0,0.25,3.578844,3.6120815,1.8078555,-2.3495817,10.687696,3.8105128,0.47836018,0.7502153316106694,0.17681210415200802,28.875175,2.882204,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ctsl,0.982,0.018000000000000016,3.9992190050861978,0.01628738,0.003599577,0.0,0.25,3.7639196,4.0536346,2.1117206,-3.7824855,11.191862,25.651943,9.014433,0.990525409130036,0.5860309641097842,191.65074,39.725105,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Mgp,0.9818,0.018199999999999994,3.9879654882761786,0.008811328,0.000980963,0.0,0.25,4.6272373,5.0852294,2.8711438,-8.062197,12.292582,11.469389,1.1101379,0.8509905254091135,0.1646727656579889,95.85809,7.7875257,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Apoe,0.9814,0.01859999999999995,3.965818015491911,0.015577922,0.003067263,0.0,0.25,3.5329223,3.7165565,2.1582086,-4.3921733,10.380818,23.468527,6.398003,0.9405684754521748,0.41977480647433235,191.91165,42.851463,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ccl11,0.9804,0.01959999999999995,3.9124305854134556,0.0040346514,0.00035477057,0.0,0.25,4.306434,4.3755026,2.6760225,-7.0860243,13.198626,6.855296,0.44035855,0.5279931093884596,0.08585503166783898,49.37091,2.3172317,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Rbp1,0.9802,0.01980000000000004,3.9020741999265773,0.0035764354,0.00058867596,0.0,0.25,3.537539,3.6697907,1.7828081,-2.7526736,9.073761,5.3591757,0.7327608,0.913006029285079,0.20584095707248848,39.201538,4.45129,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Scx,0.9782,0.02180000000000004,3.8038037298175786,0.0008965142,0.000111437104,0.0,0.25,4.4146037,4.4481683,2.6107488,-3.540598,14.310046,1.1136957,0.08391987,0.46770025839793544,0.05612244897959163,9.145213,0.88016164,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Lgals1,0.9778,0.022199999999999998,3.7852124210430027,0.0026447764,0.00039212985,0.0,0.25,3.220279,3.2587323,1.8439593,-4.2836695,9.530301,3.840662,0.7077786,0.7226528854435736,0.21375791695989224,28.607876,3.0101705,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Id3,0.9774,0.022599999999999953,3.766945646311264,0.004520772,0.0006624949,0.0,0.25,3.2733052,3.3835196,1.6797041,-3.9520025,8.901207,5.7002587,1.1557083,0.7924203273040349,0.3282899366643333,43.54866,5.698246,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Gas1,0.9768,0.0232,3.740129223327351,0.002426318,0.0006447201,0.0,0.25,3.9291546,4.3163114,2.5410676,-5.164593,11.318571,3.03101,0.64954376,0.7734711455641565,0.12719915552427777,25.194181,6.081182,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Mdk,0.9764,0.023599999999999954,3.722625213000223,0.0044105854,0.0007774338,0.0,0.25,3.0426033,3.1656156,1.5626932,-3.397447,8.216463,6.455643,1.8756258,0.8768303186907658,0.3464109781843908,51.43872,6.976582,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Cald1,0.9762,0.023800000000000043,3.7139814928514396,0.0060417284,0.0018079849,0.0,0.25,2.9163342,3.2408304,1.8940954,-3.9866295,7.8849044,7.5667543,1.9732661,0.950043066322114,0.43842364532021677,55.95415,16.963535,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Rrad,0.9752,0.024800000000000044,3.671798532024705,0.004727254,0.0005690109,0.0,0.25,3.4875636,3.5668058,2.2483652,-4.752242,10.460642,5.9500437,0.90289015,0.6124031007751904,0.28377902885292994,42.486378,5.102029,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Rbms3,0.9748,0.0252,3.65538794066687,0.0030715882,0.0020608057,0.0,0.25,2.237646,2.6934762,2.373211,-5.295333,9.450264,3.8716638,2.04751,0.8647717484926614,0.3515130190007177,30.394196,18.556114,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Pthlh,0.9744,0.025599999999999956,3.6392291651079196,0.0013894595,0.00023658846,0.0,0.25,2.9968278,3.10043,1.6030083,-2.7609453,8.947963,1.8914719,0.24630626,0.5943152454780338,0.10696692470091401,14.219561,1.3403432,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
6030407O03Rik,0.9742,0.025800000000000045,3.631241752112877,0.0021174338,0.00045079403,0.0,0.25,3.5563097,3.8199673,2.2619846,-5.0196495,9.88068,2.3479772,0.22800903,0.5193798449612421,0.08128078817733939,18.193012,3.2705088,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Fst,0.9736,0.02639999999999998,3.607636163004399,0.0018558879,0.0003547232,0.0,0.25,3.8254793,4.124421,2.351502,-3.9232635,10.449042,1.8458228,0.20936006,0.5848406546080946,0.0767065446868398,15.798692,2.1824799,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Frmd6,0.9734,0.026599999999999957,3.599883515945192,0.0010849087,0.0004823446,0.0,0.25,2.606581,3.0908113,2.1394975,-5.320112,9.708812,1.5667528,0.57864296,0.6468561584840602,0.23258268824771897,11.94862,4.9246325,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ifi202b,0.972,0.028000000000000025,3.5471509474305067,0.0035858655,0.0010610764,0.0,0.25,3.2653322,3.508907,2.5567503,-5.201103,11.376062,4.4048257,0.98980045,0.7338501291989563,0.21604503870514222,30.195412,8.5389595,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Mir100hg,0.9716,0.02839999999999998,3.532554710140545,0.0026935672,0.0012938108,0.0,0.25,2.905534,3.422727,2.5514686,-6.9419127,11.24975,3.4453082,0.98962384,0.7863910422049827,0.21622097114708452,28.054338,11.925694,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Lifr,0.9714,0.02859999999999996,3.525331272729971,0.0061530704,0.0017853519,0.0,0.25,3.9640179,4.5248556,2.6748822,-4.6414285,10.4776325,7.658048,1.8267148,0.9569336778638879,0.3245953553835449,60.237015,16.557629,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Pltp,0.9704,0.02959999999999996,3.4899336687670752,0.0013518054,0.0005931795,0.0,0.25,2.5780334,2.8441844,2.1683972,-4.8373866,8.569712,1.6813087,0.81632936,0.6330749354005123,0.2005629838142193,13.003215,4.9254937,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Scn7a,0.9702,0.02980000000000005,3.4829935170364954,0.0010059136,0.00022636555,0.0,0.25,3.5529394,3.7855697,2.8715274,-8.382924,11.763516,1.0275643,0.11541182,0.4048234280792441,0.05383532723434183,8.984653,1.4974185,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Iigp1,0.97,0.030000000000000027,3.476098366811273,0.009416022,0.002281282,0.0,0.25,3.0859537,3.3760302,1.9184055,-2.9353747,8.360432,13.385831,2.6741948,0.9190353143841312,0.4702674173117741,103.44136,21.795584,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ifit3,0.9696,0.030399999999999983,3.4624406882690915,0.0018585634,0.00033117554,0.0,0.25,3.5501626,3.7431283,2.206313,-4.134555,9.8886595,2.6141267,0.40411672,0.6167097329887992,0.13599577762139306,20.202585,2.8109913,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Tceal8,0.9694,0.03059999999999996,3.4556769979712687,0.00095909,0.0002349382,0.0,0.25,2.4790142,2.570187,1.2927433,-1.503644,7.150322,1.1145573,0.45443264,0.5813953488372077,0.25686136523575714,7.9810843,1.8482678,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Bnc2,0.9692,0.03080000000000005,3.4489559846053557,0.0005693208,0.00028920584,0.0,0.25,2.8748183,3.1955333,2.6770082,-5.523443,11.577333,0.68475527,0.23750968,0.36261843238587593,0.10855031667839464,5.440056,2.335765,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Gm8113,0.9686,0.031399999999999983,3.429043528907814,0.003051377,0.000953156,0.0,0.25,2.8938932,3.200396,2.336761,-5.8397403,9.123014,3.4832084,0.8372659,0.5021533161068072,0.17681210415200802,33.109047,10.44981,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Dcn,0.967,0.03300000000000003,3.377690641297818,0.0021073404,0.0008642121,0.0,0.25,2.1335464,2.1915493,1.7013394,-4.878073,7.681881,2.1429794,1.2630247,0.5185185185185204,0.21498944405348838,17.601683,8.034281,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Krt5,0.9656,0.034399999999999986,3.3346928250625925,0.0091493,0.001834827,0.0,0.25,3.8742344,4.2208548,2.3851767,-3.787088,10.714613,12.068878,3.1055803,0.9715762273901576,0.37456016889515975,88.620995,16.747444,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Antxr1,0.965,0.03500000000000003,3.316779764498021,0.0012375746,0.000659286,0.0,0.25,1.975705,2.27107,1.9385155,-6.0625076,7.6298227,1.2911298,0.41256192,0.5839793281653729,0.16643209007741197,10.323579,4.795585,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Hpgd,0.965,0.03500000000000003,3.316779764498021,0.004711313,0.0009593281,0.0,0.25,3.2958996,3.4714491,2.1089537,-3.9671087,10.137989,6.2592616,1.2079586,0.8311800172265134,0.2621393384940263,46.379055,7.380269,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ncam1,0.9646,0.03539999999999999,3.305001415376299,0.0008314367,0.0003948456,0.0,0.25,2.0995462,2.349739,2.155663,-6.5432277,8.118992,0.90353245,0.34095764,0.36778639104220673,0.12420830401125862,6.954602,3.1375012,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Tubb5,0.9646,0.03539999999999999,3.305001415376299,0.0019365599,0.0007392497,0.0,0.25,2.086409,2.2065873,1.4559442,-4.360949,6.1995487,2.8604681,2.5607264,0.842377260981896,0.517065446868422,21.49667,8.547287,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Pdgfc,0.964,0.03600000000000003,3.2875720887501396,0.0008934097,0.00036420528,0.0,0.25,2.7100437,2.9726548,2.5037627,-6.6035776,10.910341,0.7717488,0.24138035,0.3910422049956953,0.11488388458831715,6.5000296,2.6699529,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Csrp2,0.9632,0.036800000000000055,3.264762968022636,0.000848061,0.00023113494,0.0,0.25,2.475985,2.4005828,1.7382568,-3.8129091,8.924398,1.1214484,0.3865236,0.5038759689922507,0.1706544686840273,8.32186,1.6295588,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Frmd4a,0.9622,0.037799999999999945,3.236912972482433,0.0017817101,0.0009352653,0.0,0.25,2.326321,2.6871734,2.2757368,-4.8216357,9.4778595,2.1274753,1.0314989,0.5779500430663207,0.32653061224491026,15.583275,9.165294,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Pax1,0.9612,0.038799999999999946,3.209762009904824,0.0010090605,0.00048445334,0.0,0.25,2.049856,2.3426304,1.7520218,-3.7979488,7.175458,1.1309221,0.608552,0.5598621877691641,0.24683321604504574,8.625501,3.5303643,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Mybpc1,0.9612,0.038799999999999946,3.209762009904824,0.00049961684,0.00016984099,0.0,0.25,3.2937512,3.6234593,2.6484797,-5.2084284,11.262641,0.4298017,0.14232954,0.16795865633074933,0.05436312456016871,3.1120493,1.0334827,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Dpp6,0.9608,0.03920000000000001,3.199089279275342,0.0034527038,0.001450632,0.0,0.25,2.283746,2.5511503,2.136021,-7.048143,9.411456,4.2652936,1.1535916,0.771748492678713,0.21991555242787295,35.501087,13.394098,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Hs3st4,0.9604,0.03959999999999997,3.1885205039737716,0.0006065982,0.00027122747,0.0,0.25,2.5844805,2.8364468,2.4441013,-5.721402,9.780142,0.7174854,0.19071114,0.310938845822568,0.06052076002814893,5.930952,1.8973355,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Fat3,0.96,0.040000000000000036,3.1780535907646423,0.0014915175,0.0007329442,0.0,0.25,2.122938,2.4410892,2.1596358,-5.461384,10.076117,1.5331606,0.4210068,0.46080964685616105,0.13669950738916228,12.100394,4.710911,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Serpina3n,0.96,0.040000000000000036,3.1780535907646423,0.00024514223,6.264991e-05,0.0,0.25,3.4606183,3.3189101,2.9778686,-6.6302643,14.463344,0.24375565,0.040816333,0.14470284237726075,0.016889514426460236,1.930886,0.23029427,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Grb10,0.9598,0.040200000000000014,3.172857695461819,0.0007651923,0.00032957704,0.0,0.25,2.0308154,2.1268854,1.8167716,-5.294632,8.460943,1.0723528,0.40218133,0.5133505598621899,0.1826178747361041,8.711916,2.847864,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Cxcl12,0.9582,0.04179999999999995,3.132159956120126,0.0007672762,0.000528569,0.0,0.25,2.1385155,2.3924012,2.5198402,-7.962797,10.102081,0.7097337,0.65834004,0.3695090439276503,0.10344827586206817,5.6159525,3.457335,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Mill1,0.9582,0.04179999999999995,3.132159956120126,0.000796976,0.0004252565,0.0,0.25,2.2326138,2.4576468,2.4579642,-6.5062976,10.054182,1.0017244,0.4002465,0.44186046511628146,0.1465517241379314,7.8893666,3.4466877,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ntrk3,0.9576,0.04239999999999999,3.1172815665995963,0.0003545718,0.00018050578,0.0,0.25,2.1708143,2.2356296,2.948329,-7.8466234,10.792657,0.36520237,0.14320916,0.1877691645133507,0.056826178747360796,3.113258,1.3157636,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Nhs,0.9572,0.04279999999999995,3.1074740302487736,0.0023615453,0.0012626137,0.0,0.25,1.8532941,2.0749173,1.8645314,-4.984341,9.776434,3.3006053,1.1324828,0.7304048234280693,0.29292751583392984,23.521072,11.823507,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Adcy2,0.957,0.04300000000000004,3.1026030536505993,0.0016656773,0.0010007892,0.0,0.25,1.9214203,2.1921048,2.1758008,-6.3365335,8.793978,2.134366,0.9130936,0.6158484065460774,0.23223082336383435,17.52207,9.203069,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ptn,0.9564,0.04359999999999997,3.088118866327286,0.0006085009,0.0001749295,0.0,0.25,2.341617,2.4435253,1.8031535,-5.033306,7.4719315,0.77347213,0.16308972,0.3746770025839811,0.07459535538353229,5.7968535,0.9740943,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Aebp1,0.9562,0.04379999999999995,3.0833330609571905,0.00014232883,7.1024566e-05,0.0,0.25,2.1877232,2.2409382,2.2726686,-5.7204456,9.179549,0.15331616,0.05190016,0.12316968130921581,0.0348346235045743,1.1917803,0.4759108,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Eya1,0.9556,0.044399999999999995,3.0690997312529054,0.0013407783,0.0010354245,0.0,0.25,1.4615984,1.7362638,2.1460197,-6.42604,8.242692,1.7252363,1.6212299,0.6528854435831124,0.42874736101338995,14.327458,10.983704,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ascl1,0.9548,0.04520000000000002,3.0504045968609734,0.0031000962,0.00090287026,0.0,0.25,2.464207,2.579592,2.1388545,-5.039875,9.644682,4.5176625,1.853103,0.7407407407407303,0.32266009852217953,33.12756,7.8310213,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Sparc,0.9546,0.045399999999999996,3.0457800897357927,0.0017739956,0.00059230364,0.0,0.25,2.3942013,2.395122,1.9377167,-4.2022867,8.761877,2.2583969,0.72273254,0.738156761412565,0.15059817030260444,17.946796,3.7921407,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Hspb1,0.9538,0.04620000000000002,3.0274740018106154,0.011083376,0.0029858663,0.0,0.25,2.2642393,2.3391225,1.6403682,-3.5187092,8.183142,16.053366,9.922927,0.9190353143841312,0.6685432793806996,125.6891,36.926693,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Dut,0.9536,0.0464,3.0229446320482345,0.0005164525,0.00031575115,0.0,0.25,1.5530193,1.7418566,1.4569781,-4.76467,5.5012474,0.7295443,1.049092,0.45391903531438665,0.28166783954962227,5.304682,3.242729,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
F830016B08Rik,0.9526,0.0474,3.0005726591928727,0.00078037713,0.00027901356,0.0,0.25,2.161106,2.272273,2.0859299,-5.567997,9.669354,1.1576235,0.36576343,0.289405684754523,0.13019000703729697,8.465102,2.686967,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Cxcl14,0.9526,0.0474,3.0005726591928727,0.0008467521,0.00019856854,0.0,0.25,2.646726,2.5234566,2.5562468,-5.9554415,14.51947,1.0542651,0.13546807,0.34539190353143995,0.04081632653061223,8.724349,0.7765782,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
Ethe1,0.9526,0.0474,3.0005726591928727,0.0007166334,0.0003620865,0.0,0.25,1.9052459,2.0513778,1.5923572,-3.9020119,6.453347,0.80103505,0.70954007,0.4944013781223112,0.2529908515130264,6.261561,3.3260221,True,Ccl21a+ TECs vs Rest,Ccl21a+ TECs,Rest
