,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Tm4sf1,0.9942,0.005800000000000027,5.144078762030087,0.00397568,0.000112531234,0.0,0.25,5.49584,5.517729,2.4173176,-3.2207594,14.7482,9.698796,0.107216895,0.8313253012048201,0.03223898254954147,35.340134,0.40311527,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
A2ml1,0.9916,0.008399999999999963,4.771086913921002,0.001539696,7.2961026e-05,0.0,0.25,5.475261,5.418858,2.6127846,-3.503829,15.701611,5.73494,0.12925176,0.5180722891566263,0.03416149068322971,18.463366,0.42628625,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Syt10,0.9908,0.009199999999999986,4.679308136697134,0.00021572332,5.7978957e-07,0.0,0.25,10.757348,11.086561,6.2641273,-9.807263,33.953236,0.6024096,0.0007394262,0.2650602409638555,0.0005915409642117716,1.8962437,0.0015514661,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Tmem212,0.9904,0.009600000000000053,4.636344771887343,0.0040021436,4.801107e-05,0.0,0.25,6.381044,6.5932837,3.4254048,-4.879319,19.294928,10.602407,0.011387163,0.63855421686747,0.0063590653652765405,35.14961,0.059954382,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
C230072F16Rik,0.9904,0.009600000000000053,4.636344771887343,0.00074557494,4.3755813e-06,0.0,0.25,9.185147,9.244392,5.126727,-5.682064,30.818058,2.3012052,0.0026619341,0.5060240963855419,0.0005915409642117716,7.8838377,0.004484103,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Wdr63,0.99,0.010000000000000009,4.5951188602360995,0.0011615687,3.8339218e-05,0.0,0.25,3.848752,5.0185437,4.5858245,-8.390833,16.005686,3.216868,0.027210873,0.6506024096385544,0.02292221236320613,10.095118,0.12517133,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Gm19935,0.9898,0.010199999999999987,4.575114211938937,0.002110887,2.1410844e-05,0.0,0.25,7.402749,7.4402122,3.8433506,-4.4668245,22.426182,5.349398,0.006654835,0.5301204819277107,0.0035492457852706284,16.703823,0.017601863,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Gm7361,0.9896,0.010399999999999965,4.555494063498048,0.00016458426,1.0234223e-06,0.0,0.25,8.663163,8.537412,5.141899,-7.810959,26.667498,0.37349394,0.0008873114,0.1807228915662651,0.0008873114463176575,1.431503,0.0029398268,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Cfap61,0.989,0.01100000000000001,4.498798159845069,0.0010598823,5.680569e-05,0.0,0.25,4.43941,4.438858,2.161168,-1.6632757,13.190099,4.698796,0.07956245,0.6506024096385544,0.047175391895888596,15.102301,0.2356982,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Arhgdig,0.9886,0.011399999999999966,4.462675578395129,0.0007402408,3.6063786e-05,0.0,0.25,5.434884,5.376058,2.9305193,-4.0484743,16.290012,2.7590365,0.06551322,0.5301204819277107,0.03534457261165325,8.2623,0.1863799,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Cfap54,0.9884,0.011600000000000055,4.445081524050899,0.0013740284,4.7163667e-05,0.0,0.25,5.2497725,5.236495,2.792812,-3.5786276,14.815218,4.349397,0.03564035,0.6024096385542169,0.02144335995267671,14.801558,0.1549996,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Adamts20,0.9868,0.01319999999999999,4.314249807621173,0.00063895294,1.7608967e-05,0.0,0.25,5.3476024,5.353526,2.9162529,-4.2964563,15.572193,2.0843375,0.025288373,0.3373493975903614,0.017894114167406105,6.8494873,0.106202565,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Mlf1,0.9858,0.01419999999999999,4.240210835583005,0.0017721052,9.8956174e-05,0.0,0.25,4.371872,4.369244,2.087639,-2.2517586,11.0569935,6.8915663,0.23203094,0.7710843373493982,0.09863945578231237,20.147104,0.71590424,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Agr3,0.9856,0.014399999999999968,4.226021701899203,0.00030226534,1.6703116e-05,0.0,0.25,6.06745,5.9619045,4.0908732,-6.3950233,24.205341,0.6385542,0.016858924,0.28915662650602414,0.008133688257911855,2.2663736,0.062108606,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Sntn,0.9856,0.014399999999999968,4.226021701899203,0.0015325749,7.976927e-06,0.0,0.25,8.229477,8.366251,5.2358565,-6.815798,25.34052,3.9759037,0.0035492452,0.4939759036144576,0.0029577048210588574,12.77413,0.008965416,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
1110017D15Rik,0.9856,0.014399999999999968,4.226021701899203,0.0018526937,7.3902076e-05,0.0,0.25,4.4850225,4.571047,2.205913,-2.9691277,10.900104,5.9759035,0.106034026,0.6746987951807232,0.059597752144335714,18.583958,0.33059707,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Dnah12,0.9856,0.014399999999999968,4.226021701899203,0.0017155859,7.977942e-05,0.0,0.25,4.980835,4.925874,2.7657244,-3.4117413,17.083942,6.650602,0.07571732,0.6144578313253013,0.0362318840579709,22.073454,0.2830963,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Vpreb3,0.9854,0.014599999999999946,4.212025446612466,0.0018871775,5.2947737e-05,0.0,0.25,5.308156,5.582603,4.1179557,-7.2548437,16.631702,6.4096384,0.05752742,0.6746987951807232,0.032091097308488525,19.324652,0.17143968,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Dnali1,0.9854,0.014599999999999946,4.212025446612466,0.0012823599,2.5950096e-05,0.0,0.25,4.3288045,5.303754,4.3398795,-7.9829044,15.707598,2.8554225,0.01390122,0.6024096385542169,0.011535048802129558,9.142725,0.05508096,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
1700024G13Rik,0.9846,0.01539999999999997,4.157867318710489,0.00047773868,3.7746358e-06,0.0,0.25,6.9136796,7.204095,4.490874,-5.1978416,21.876104,1.445783,0.0020703932,0.3734939759036144,0.0019225081336882582,4.186911,0.008926369,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Fam92b,0.984,0.016000000000000014,4.119036559975268,0.00042360887,2.7812419e-05,0.0,0.25,4.234212,4.932589,5.2204404,-11.827484,18.475502,1.3614457,0.019077199,0.42168674698795167,0.007985803016858911,4.2813187,0.054240365,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Fam216b,0.9838,0.016199999999999992,4.106410775003809,0.00042721225,4.298661e-06,0.0,0.25,7.0842195,7.3162146,5.610636,-9.276039,24.747866,1.2530121,0.0013309672,0.433734939759036,0.0010351966873706005,4.5460296,0.005172257,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Dnah7c,0.9836,0.01639999999999997,4.093937375922709,0.00074252184,3.8602695e-05,0.0,0.25,5.533203,5.6516223,3.7701776,-7.2798405,19.872532,2.036145,0.02114759,0.5662650602409638,0.011091393078970727,6.768216,0.06898785,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Mns1,0.9828,0.017199999999999993,4.045495685607447,0.0011233637,8.526172e-05,0.0,0.25,2.8403165,3.5832052,3.5006611,-8.600267,12.716235,4.0120482,0.11091421,0.6746987951807232,0.06403430937592397,11.925996,0.32067826,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Ccdc39,0.9826,0.01739999999999997,4.033731348978669,0.0009261842,3.7698486e-05,0.0,0.25,3.9425647,4.693829,4.2147818,-8.326562,17.62865,3.7469883,0.021147585,0.6506024096385544,0.014640638864241374,10.755411,0.10581017,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Tekt4,0.9824,0.01759999999999995,4.0220990973462705,0.0005050395,3.269336e-05,0.0,0.25,4.5574465,4.987673,5.6372433,-12.009024,21.40051,1.7951806,0.03475304,0.5060240963855419,0.014936409346347261,5.085482,0.096846506,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
Efcab10,0.9822,0.017800000000000038,4.010595944690734,0.0004694415,1.9824798e-05,0.0,0.25,6.2046356,6.373461,5.338536,-10.056838,21.526083,1.9036142,0.019225083,0.4457831325301203,0.008133688257911855,6.148182,0.048749696,True,Ciliated MCs vs Rest,Ciliated MCs,Rest
