,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Spink5,0.9862,0.013800000000000034,4.269189867129377,0.0059070564,0.00034501043,0.0,0.25,4.7254367,4.8222017,2.4495091,-3.945838,12.267349,28.927032,0.8293605,0.7250280583613888,0.10295599596909799,90.859886,2.2528837,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Cyp2d12,0.9822,0.017800000000000038,4.010595944690734,0.00026665896,1.8677638e-05,0.0,0.25,4.62106,4.7636623,3.28585,-8.015877,17.272858,0.42873177,0.016627485,0.1156004489337821,0.009909304669129992,1.154774,0.053448826,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Gsta4,0.9784,0.021599999999999953,3.813224816940758,0.0028906865,0.00025010688,0.0,0.25,3.9241107,4.0147676,2.3555293,-5.133791,14.658358,13.125723,0.42425314,0.7104377104377076,0.11941551897884001,34.976704,1.4238858,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Gm94,0.9772,0.022800000000000042,3.757930375060113,0.0026192435,0.00012829392,0.0,0.25,4.722954,4.7683454,3.5643773,-7.6138887,16.621166,11.998888,0.20691946,0.38047138047137913,0.0298958683238159,32.029522,0.5598811,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Gc,0.9768,0.0232,3.740129223327351,0.00039222275,3.441227e-05,0.0,0.25,4.393657,4.3475466,3.420056,-11.157065,18.3507,1.4904609,0.087336205,0.13131313131313108,0.019146792072556252,4.2466016,0.2870997,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Cysrt1,0.9768,0.0232,3.740129223327351,0.0003423698,2.6046235e-05,0.0,0.25,4.8757644,4.9242215,3.25515,-7.14155,15.438716,1.1167233,0.030399762,0.277216610549943,0.018810883439704388,2.7188191,0.08080014,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Lipk,0.9764,0.023599999999999954,3.722625213000223,0.0002733612,3.331806e-05,0.0,0.25,4.2547235,4.1408515,2.8452077,-5.7719164,12.754044,0.586981,0.024353385,0.18742985409652027,0.012764528048370836,1.6072372,0.06632003,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Psapl1,0.9762,0.023800000000000043,3.7139814928514396,0.00084944296,5.250845e-05,0.0,0.25,4.3609867,4.278625,3.1218107,-4.5011864,14.168576,2.3479245,0.039301347,0.35802469135802345,0.022841787033926756,7.682828,0.120756716,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Rptn,0.976,0.02400000000000002,3.705408349644468,0.0031543535,0.0004897857,0.0,0.25,4.0058436,4.290472,2.6156464,-6.0812597,11.485765,11.185194,0.98320735,0.5925925925925903,0.13805844810211923,38.113926,3.443325,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Cxcl5,0.9754,0.024599999999999955,3.6801008040858587,0.00086131954,9.084739e-05,0.0,0.25,4.045051,4.026111,2.6801739,-5.920434,15.3089485,2.6172838,0.23412807,0.16835016835016794,0.030063822640241832,7.6856327,0.6331343,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Ugt2b34,0.975,0.025000000000000022,3.663561256386136,0.000378839,3.6985348e-05,0.0,0.25,4.3839707,4.412993,3.1894906,-6.325732,14.496125,0.8832772,0.06315085,0.12345679012345659,0.019650655021834048,2.6565895,0.2010735,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Krt78,0.9742,0.025800000000000045,3.631241752112877,0.0008027339,6.9732014e-05,0.0,0.25,3.9997933,4.037346,2.55642,-5.851695,13.635912,2.1111114,0.11101755,0.3827160493827147,0.05156197514276113,6.875831,0.35869473,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Depp1,0.9736,0.02639999999999998,3.607636163004399,0.0005007593,7.300446e-05,0.0,0.25,3.2981765,3.3093114,2.3182125,-5.351528,13.443113,1.3995523,0.12512581,0.26823793490460074,0.037453812562982844,4.341972,0.35996014,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Tspan8,0.971,0.029000000000000026,3.5110303037759842,0.0017526688,0.0002842615,0.0,0.25,3.4149296,3.2764964,2.4248796,-4.933191,10.941409,5.5443325,0.4732961,0.5656565656565635,0.11907961034598813,16.196737,1.6507975,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Ear1,0.9706,0.02939999999999998,3.4969194327933892,0.00043754844,4.8594633e-05,0.0,0.25,4.2482133,4.197984,3.999942,-10.383274,15.241537,1.0561172,0.06818947,0.16835016835016794,0.02233792408464896,4.6818223,0.18371423,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Serpinb2,0.9702,0.02980000000000005,3.4829935170364954,0.002689951,0.00046781727,0.0,0.25,3.4980078,3.3731725,2.4573615,-4.15823,10.96445,12.5690365,1.6785465,0.6644219977553285,0.24773261672825736,36.325012,4.233659,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Gsta1,0.9702,0.02980000000000005,3.4829935170364954,0.0004073485,7.4059084e-05,0.0,0.25,4.111329,4.1936584,3.4200034,-6.4166718,13.374202,2.0852973,0.11605635,0.3400673400673389,0.03443063486731607,4.546006,0.27386612,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Oit1,0.9686,0.031399999999999983,3.429043528907814,0.0023753208,0.0003994061,0.0,0.25,3.328418,3.5290852,1.9121683,-3.4129758,9.01872,6.8855224,0.8864669,0.8451178451178417,0.2517635203224796,24.76381,2.8691292,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Atp13a4,0.9684,0.03159999999999996,3.4224877983417037,0.00023932979,4.630555e-05,0.0,0.25,4.1929803,3.8982158,3.7200444,-10.224155,17.568565,0.4624018,0.042660415,0.14478114478114448,0.015115888478333884,1.4404244,0.14659639,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Cxcl3,0.9684,0.03159999999999996,3.4224877983417037,0.0009379941,0.00020575573,0.0,0.25,3.7586625,3.6466618,3.3440635,-7.515584,13.225721,2.867564,0.6645967,0.2693602693602685,0.07054081289889177,8.131942,1.6082795,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Spink12,0.9682,0.03180000000000005,3.4159720835825462,0.000644585,4.505469e-05,0.0,0.25,4.066458,4.1578765,3.328428,-8.2085085,16.587261,5.124579,0.08397715,0.12457912457912437,0.014612025529056088,10.848403,0.23378669,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Krt6a,0.9672,0.03280000000000005,3.3839764893716042,0.0006020811,4.9072114e-05,0.0,0.25,3.5396647,3.5381856,3.32894,-8.65384,14.620879,1.6554441,0.027880426,0.1582491582491579,0.011756802149815244,5.24117,0.14098726,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
Serpina7,0.967,0.03300000000000003,3.377690641297818,0.0009773956,0.00016353764,0.0,0.25,3.6451163,3.678185,3.0527844,-6.010313,12.005819,3.4624002,0.36597258,0.32435465768798993,0.0597917366476318,10.034268,0.9787598,True,Cornefied MCs vs Rest,Cornefied MCs,Rest
