,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gm5930,0.9946,0.00539999999999996,5.215939850914573,0.00060770736,8.893457e-06,0.0,0.25,7.076348,7.244122,3.379655,-6.733367,19.39694,1.1948051,0.0153938215,0.15584415584415587,0.007024361082050519,3.5550802,0.037029315,True,Microfold MCs vs Rest,Microfold MCs,Rest
Gm37800,0.9938,0.006199999999999983,5.076985084277639,0.0007991108,7.06587e-06,0.0,0.25,7.6793633,7.654089,3.8389025,-5.5585594,20.880886,1.5649348,0.004483634,0.21428571428571433,0.002989089822149156,4.694216,0.013564884,True,Microfold MCs vs Rest,Microfold MCs,Rest
Gm50069,0.993,0.007000000000000006,4.954819096489944,0.0006359683,3.0562027e-05,0.0,0.25,4.338754,4.377161,1.8160487,-2.5955276,10.214575,2.551947,0.04408917,0.46753246753246763,0.03870871319683159,6.879014,0.21414708,True,Microfold MCs vs Rest,Microfold MCs,Rest
Ccl6,0.9926,0.007399999999999962,4.8988464216673355,0.0031603174,0.00015565136,0.0,0.25,5.307766,5.483658,2.4671419,-4.4859953,14.333739,16.616886,0.24794506,0.6233766233766225,0.04767598266327922,37.775482,0.66531086,True,Microfold MCs vs Rest,Microfold MCs,Rest
Ccl9,0.9922,0.007800000000000029,4.845799694199552,0.0062421993,0.00024518766,0.0,0.25,5.838075,5.8965206,2.728855,-5.2119102,15.576397,18.519474,0.63787085,0.8506493506493479,0.1123897773128073,43.07356,1.6030036,True,Microfold MCs vs Rest,Microfold MCs,Rest
Ccl20,0.992,0.008000000000000007,4.820280325686463,0.013860784,0.0004320786,0.0,0.25,5.9433084,6.060562,2.7663863,-4.0033703,14.768595,78.49348,2.072786,0.8051948051948028,0.14691376475862908,181.61101,4.5695467,True,Microfold MCs vs Rest,Microfold MCs,Rest
Abca13,0.9898,0.010199999999999987,4.575114211938937,0.00378922,0.0001994609,0.0,0.25,5.023115,4.7222834,2.7043445,-3.6659002,14.640019,16.759739,0.38350108,0.6688311688311676,0.08907487670004455,61.53198,1.2344674,True,Microfold MCs vs Rest,Microfold MCs,Rest
Mmp7,0.986,0.014000000000000012,4.254598320843905,0.0017521124,0.00017008613,0.0,0.25,4.419787,4.4777074,2.522416,-4.8582754,13.631287,4.8441567,0.40995425,0.42207792207792216,0.0587356150052313,11.592063,1.1485316,True,Microfold MCs vs Rest,Microfold MCs,Rest
Cr2,0.9834,0.016599999999999948,4.0816126673746895,0.0015079256,7.810532e-05,0.0,0.25,4.484789,4.437938,2.4414694,-3.352394,13.47669,4.9350653,0.11433237,0.571428571428571,0.05828725153190892,17.608282,0.31344932,True,Microfold MCs vs Rest,Microfold MCs,Rest
1700003P14Rik,0.983,0.017000000000000015,4.057395198028768,0.0005106701,2.801798e-05,0.0,0.25,4.971514,4.922204,3.093452,-6.3951483,16.450933,2.1233764,0.043042906,0.19480519480519484,0.012554177253026435,6.858412,0.10207808,True,Microfold MCs vs Rest,Microfold MCs,Rest
