,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Stxbp5l,0.9984,0.0016000000000000458,6.4361441284049565,0.0064025223,0.00015580597,0.0,0.25,6.197937,6.195874,2.166695,-1.3320055,14.107558,39.923416,0.3139058,0.8828828828828796,0.08062811414766698,172.39572,0.98286605,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Rap1gap2,0.9976,0.0023999999999999577,6.029879500378016,0.0031316723,0.0001783029,0.0,0.25,5.0401783,4.9242964,1.9903401,-1.1900969,11.9927,6.990992,0.3184347,0.8873873873873841,0.14041974935829782,30.577145,1.1177788,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Car8,0.9964,0.0036000000000000476,5.623212170188158,0.006733997,0.0002074857,0.0,0.25,6.9505806,6.865334,2.8551028,-2.7159843,17.680384,35.049553,0.56605685,0.8108108108108083,0.06492526045598652,156.81921,1.7287576,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Cacna2d1,0.9958,0.0041999999999999815,5.468459538011395,0.012349165,0.00075426255,0.0,0.25,4.3954034,4.4136496,1.7115974,-2.0171332,10.828463,64.18018,1.5497631,0.9729729729729688,0.3817001358901023,289.96335,6.7433844,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Snap25,0.9956,0.0043999999999999595,5.421738766888735,0.0018015509,7.7642595e-05,0.0,0.25,5.850797,5.531263,2.748799,-2.2522535,15.612925,4.0225234,0.067945115,0.7252252252252236,0.033821531028234854,20.56617,0.22427577,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Ptprn2,0.9954,0.0046000000000000485,5.377086199064927,0.0068345293,0.00023623715,0.0,0.25,5.601233,5.6640105,2.237016,-2.1042824,12.047752,22.518011,0.45417324,0.8918918918918886,0.13105843273441053,106.98199,1.6329585,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
9030622O22Rik,0.9954,0.0046000000000000485,5.377086199064927,0.0010688403,1.2021598e-05,0.0,0.25,7.6277976,7.638986,3.2467592,-3.6204634,17.46753,0.9279278,0.007398458,0.1936936936936938,0.0034727464895062646,4.676143,0.026816016,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Clca3b,0.994,0.006000000000000005,5.1099760808236026,0.004100843,0.00011433523,0.0,0.25,6.0346756,6.0799913,2.5607443,-3.9563828,14.170588,15.626128,0.21787721,0.7027027027027013,0.05375207609844466,69.419014,0.5719929,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Speer4c,0.9936,0.006399999999999961,5.0450351683792265,0.0015436672,5.420031e-05,0.0,0.25,6.1325436,6.054757,2.9252634,-3.8443165,18.965855,5.3378386,0.042729918,0.5090090090090096,0.014796919824852768,20.115088,0.106396265,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Gm609,0.9934,0.00660000000000005,5.014062248556934,0.002288265,9.888723e-05,0.0,0.25,6.094598,6.1890454,2.6432338,-3.8097725,14.990281,3.698199,0.07640046,0.5855855855855854,0.03548240978408567,20.065048,0.4050227,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Rfx6,0.993,0.007000000000000006,4.954819096489944,0.000806151,9.782054e-06,0.0,0.25,7.6387405,7.711234,3.4719193,-3.9738998,20.197823,1.3783785,0.005737581,0.37387387387387433,0.0036237354673108848,7.4590964,0.015854107,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
Vwf,0.993,0.007000000000000006,4.954819096489944,0.0012321795,8.095302e-05,0.0,0.25,4.2916417,4.2444487,1.8617038,-2.9445772,11.20561,3.0135145,0.123357624,0.5270270270270274,0.06915295183451588,13.931786,0.46525395,True,Neuroendocrine MCs vs Rest,Neuroendocrine MCs,Rest
