,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Tmem158,0.9874,0.012599999999999945,4.361377628344464,0.0031677235,0.00040358325,0.0,0.25,3.2529972,3.3101711,1.4905331,-2.9457293,7.801218,13.414397,1.1370589,0.9255583126550929,0.35734244023596445,37.85899,3.7501442,True,TAC-TECs vs Rest,TAC-TECs,Rest
Utf1,0.983,0.017000000000000015,4.057395198028768,0.003098229,0.0003345801,0.0,0.25,4.0716114,4.113449,2.1437423,-4.767419,10.215712,10.493805,1.2730457,0.9280397022332567,0.31713753492704794,30.220818,3.3055832,True,TAC-TECs vs Rest,TAC-TECs,Rest
Phgdh,0.9828,0.017199999999999993,4.045495685607447,0.0036283538,0.0005577837,0.0,0.25,3.0836627,2.9339426,1.5948306,-3.0999699,8.768441,13.642678,1.6005772,0.9652605459057136,0.43883886991620064,39.757477,5.350907,True,TAC-TECs vs Rest,TAC-TECs,Rest
Ccna2,0.9826,0.01739999999999997,4.033731348978669,0.00041140648,1.8588093e-05,0.0,0.25,4.9814434,4.9989777,2.8248625,-7.2139263,15.3707,1.2779154,0.012728965,0.3722084367245666,0.006674945669046874,3.30914,0.05517644,True,TAC-TECs vs Rest,TAC-TECs,Rest
Selenoh,0.9824,0.01759999999999995,4.0220990973462705,0.0021833386,0.00025779332,0.0,0.25,3.1057687,3.1657262,1.5965661,-3.4513884,8.52034,7.466506,0.60539967,0.888337468982636,0.3446134740763847,20.67981,2.5378177,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hspd1,0.9816,0.018399999999999972,3.9768326954910993,0.003939042,0.0009172263,0.0,0.25,2.1308415,2.1042852,1.0116049,-1.7370853,6.6678767,16.404474,2.6325274,0.9702233250620412,0.6965228190003759,46.146275,10.135541,True,TAC-TECs vs Rest,TAC-TECs,Rest
Cdca8,0.9804,0.01959999999999995,3.9124305854134556,0.0008088361,3.5117464e-05,0.0,0.25,4.3669057,4.447837,2.4240768,-5.1521883,11.706144,2.511166,0.049053147,0.4863523573201012,0.030735796336541412,7.004988,0.17329587,True,TAC-TECs vs Rest,TAC-TECs,Rest
Hnf1a,0.9802,0.01980000000000004,3.9020741999265773,0.00088111544,0.00015169049,0.0,0.25,3.136163,3.1977081,1.8656008,-5.154126,9.3949175,3.1240695,0.5065206,0.7816377171215928,0.20816516609748245,9.636518,1.3372042,True,TAC-TECs vs Rest,TAC-TECs,Rest
Vim,0.9788,0.021199999999999997,3.83232568840914,0.0037899865,0.0006487456,0.0,0.25,3.2056923,3.194459,1.7872446,-4.541237,9.372006,12.647645,1.996107,0.9578163771712223,0.3342129773362403,37.90974,6.2109795,True,TAC-TECs vs Rest,TAC-TECs,Rest
Pclaf,0.9774,0.022599999999999953,3.766945646311264,0.0013112796,5.9538896e-05,0.0,0.25,4.537639,4.520544,2.8998618,-4.0969887,15.306363,5.3250637,0.03880783,0.573200992555834,0.024837007140639526,13.648756,0.14499216,True,TAC-TECs vs Rest,TAC-TECs,Rest
Stmn1,0.9772,0.022800000000000042,3.757930375060113,0.004056162,0.000254559,0.0,0.25,3.795836,3.9925587,2.1384895,-3.6226368,10.908246,14.069489,0.45591578,0.8808933002481446,0.2092517851598854,39.607555,1.8747724,True,TAC-TECs vs Rest,TAC-TECs,Rest
