,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ly6g6f,0.9996,0.00039999999999995595,7.823620941151559,0.0027742835,3.5292116e-05,0.0,0.25,6.904714,6.877639,2.2784626,-2.5835238,14.362684,4.4231615,0.025328353,0.8129175946547841,0.01813633520950592,27.257814,0.124740355,True,Tuft cells vs Rest,Tuft cells,Rest
Gnat3,0.9996,0.00039999999999995595,7.823620941151559,0.0066121696,5.1069124e-05,0.0,0.25,7.734475,7.7730975,2.470696,-2.1018333,17.394505,22.779516,0.065666065,0.639198218262805,0.017979987492182593,104.10444,0.22719453,True,Tuft cells vs Rest,Tuft cells,Rest
Pik3r5,0.9996,0.00039999999999995595,7.823620941151559,0.0035361042,8.991234e-05,0.0,0.25,5.711347,5.722361,1.7635984,-1.231885,12.158627,5.193758,0.066760495,0.861915367483291,0.03861788617886174,29.024914,0.17724505,True,Tuft cells vs Rest,Tuft cells,Rest
A630073D07Rik,0.9994,0.0006000000000000449,7.417964066154244,0.002787154,1.3984754e-05,0.0,0.25,8.550765,8.730529,2.5745404,-1.6063366,19.753101,4.7527847,0.010162599,0.39866369710467753,0.006722951844903058,22.523409,0.03610499,True,Tuft cells vs Rest,Tuft cells,Rest
Vav1,0.9994,0.0006000000000000449,7.417964066154244,0.0021130487,5.21489e-05,0.0,0.25,5.6826963,5.7242327,1.748202,-0.24019527,11.961439,3.048996,0.036116354,0.8195991091313987,0.02517198248905563,18.472998,0.13259843,True,Tuft cells vs Rest,Tuft cells,Rest
Sh2d7,0.9994,0.0006000000000000449,7.417964066154244,0.0035868129,4.0538307e-05,0.0,0.25,6.9676766,7.0340075,2.2556825,-1.8589449,14.736332,4.469931,0.025484692,0.7594654788418674,0.013445903689806114,29.715187,0.070825584,True,Tuft cells vs Rest,Tuft cells,Rest
Plcb2,0.9992,0.0008000000000000229,7.13008602021168,0.0026743095,3.9089686e-05,0.0,0.25,7.0128264,6.89419,2.261001,-1.1618652,17.808659,3.8752735,0.024077568,0.781737193763916,0.015322076297686036,22.412355,0.07421763,True,Tuft cells vs Rest,Tuft cells,Rest
Lrmp,0.9992,0.0008000000000000229,7.13008602021168,0.009010781,9.9445635e-05,0.0,0.25,6.933375,6.983579,1.8980869,-0.39778233,13.411667,22.49443,0.07270173,0.9086859688195931,0.03517823639774855,110.42307,0.25314632,True,Tuft cells vs Rest,Tuft cells,Rest
Rgs13,0.999,0.0010000000000000009,6.906744788708563,0.0070527694,4.5894583e-05,0.0,0.25,8.195171,8.252788,2.153573,-0.13672352,19.564371,18.282854,0.054565325,0.8864142538975445,0.02063789868667915,94.01669,0.15451527,True,Tuft cells vs Rest,Tuft cells,Rest
Trpm5,0.9988,0.0011999999999999789,6.724224678325084,0.003621556,5.901335e-05,0.0,0.25,6.579815,6.5581646,2.032347,-1.1944551,14.76285,5.1536713,0.032520358,0.8908685968819542,0.019387116948092534,31.824871,0.10519413,True,Tuft cells vs Rest,Tuft cells,Rest
Gng13,0.9988,0.0011999999999999789,6.724224678325084,0.007659665,0.00018296474,0.0,0.25,5.648719,5.6322155,1.7835596,-2.070774,11.606628,18.884193,0.3671025,0.9376391982182563,0.1483739837398393,95.20359,0.9987091,True,Tuft cells vs Rest,Tuft cells,Rest
1810046K07Rik,0.9988,0.0011999999999999789,6.724224678325084,0.0018332453,4.6865454e-05,0.0,0.25,6.1036525,6.065411,2.0772521,-1.5860796,14.979362,4.423159,0.021575987,0.8173719376391938,0.010944340212632884,21.651388,0.06657221,True,Tuft cells vs Rest,Tuft cells,Rest
Pik3cg,0.9988,0.0011999999999999789,6.724224678325084,0.0020063648,2.7028129e-05,0.0,0.25,6.979897,6.9946456,2.1066208,-2.4491568,14.204206,3.0200417,0.022514088,0.6280623608017807,0.013914946841776094,16.66115,0.06563318,True,Tuft cells vs Rest,Tuft cells,Rest
Alox5,0.9984,0.0016000000000000458,6.4361441284049565,0.0028638053,0.00010620093,0.0,0.25,4.982138,4.9874883,1.605193,-1.3826456,11.362745,4.3474355,0.07426523,0.8218262806236035,0.05706691682301431,24.444868,0.53834295,True,Tuft cells vs Rest,Tuft cells,Rest
Fyb,0.9984,0.0016000000000000458,6.4361441284049565,0.007654305,0.00027124406,0.0,0.25,5.131931,5.2488728,1.5870925,-1.3517809,10.939012,14.420932,0.563786,0.9309576837416417,0.20528455284553532,80.87038,1.6873746,True,Tuft cells vs Rest,Tuft cells,Rest
Ptpn18,0.9982,0.0018000000000000238,6.318161446611285,0.006797525,0.0001887025,0.0,0.25,5.1610994,5.306441,1.565702,-1.2418165,9.988837,10.347436,0.41728827,0.9131403118040028,0.23874296435273024,61.084652,1.3863577,True,Tuft cells vs Rest,Tuft cells,Rest
Il25,0.9978,0.0021999999999999797,6.11709095964051,0.0007593367,1.6731927e-05,0.0,0.25,6.597864,6.631836,2.51191,-2.3488216,16.940132,0.97772795,0.008911818,0.4075723830734972,0.004065040650406501,6.3005886,0.02917694,True,Tuft cells vs Rest,Tuft cells,Rest
Sh2d6,0.9978,0.0021999999999999797,6.11709095964051,0.004384559,8.3768646e-05,0.0,0.25,5.9533978,5.9522495,2.2142932,-2.9213963,12.888557,7.309575,0.073639825,0.7238307349665897,0.04237023139462159,45.94515,0.2522548,True,Tuft cells vs Rest,Tuft cells,Rest
Bmx,0.9976,0.0023999999999999577,6.029879500378016,0.006130458,0.00014006771,0.0,0.25,6.633286,6.6371293,2.381241,-4.069991,14.471601,12.198219,0.09787377,0.9175946547884125,0.034552845528455244,64.50856,0.36532158,True,Tuft cells vs Rest,Tuft cells,Rest
