,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Igfbp7,0.9974,0.0026000000000000467,5.949636611964186,0.001798188,0.00011216253,0.0,0.25,4.6242404,4.6269712,1.6931986,-1.6571851,9.920105,3.2352931,0.10890174,0.6519607843137237,0.04101289420537507,19.730148,0.378056,True,cTECs vs Rest,cTECs,Rest
Kcnk2,0.9956,0.0043999999999999595,5.421738766888735,0.0025798879,0.00013772717,0.0,0.25,5.154572,5.070916,2.1114948,-1.920147,13.453075,3.598036,0.13018487,0.764705882352939,0.07876339909895906,24.740904,0.9891851,True,cTECs vs Rest,cTECs,Rest
Cxcl12,0.9944,0.005600000000000049,5.179371166799013,0.0048705093,0.00027098513,0.0,0.25,4.9540877,4.9806633,2.1053538,-1.5197687,13.3603325,7.8308754,0.21298626,0.8504901960784289,0.10408575423333909,41.693344,1.4231371,True,cTECs vs Rest,cTECs,Rest
Scn1a,0.9938,0.006199999999999983,5.076985084277639,0.0026874305,9.038895e-05,0.0,0.25,5.942026,5.9587235,2.5723834,-3.5044937,16.371761,3.0367641,0.04147897,0.7009803921568608,0.017554761534876524,25.353712,0.2741352,True,cTECs vs Rest,cTECs,Rest
Pltp,0.99,0.010000000000000009,4.5951188602360995,0.0047745383,0.0004426937,0.0,0.25,4.474554,4.6340036,1.8993343,-1.3395371,10.236834,7.477931,0.550098,0.9362745098039188,0.2319403448811597,45.359352,3.8195784,True,cTECs vs Rest,cTECs,Rest
Diras2,0.989,0.01100000000000001,4.498798159845069,0.0012216758,0.00010654187,0.0,0.25,4.2556396,4.201695,2.0840836,-2.003088,12.694711,1.7450979,0.09647361,0.5661764705882338,0.06229610066801255,10.488162,0.62656397,True,cTECs vs Rest,cTECs,Rest
Psmb11,0.9846,0.01539999999999997,4.157867318710489,0.0017137014,4.3831995e-05,0.0,0.25,5.385188,5.0467362,3.5249875,-5.097606,20.585463,4.580879,0.066645995,0.3749999999999992,0.02734192947025018,17.40028,0.24811225,True,cTECs vs Rest,cTECs,Rest
Tinagl1,0.9844,0.015599999999999947,4.14476077339445,0.0007282377,0.00014047077,0.0,0.25,2.799305,2.598843,1.4836088,-1.2898035,9.315584,1.1004912,0.27512592,0.529411764705881,0.16436228056548294,7.654349,1.097294,True,cTECs vs Rest,cTECs,Rest
Grm8,0.9822,0.017800000000000038,4.010595944690734,0.003151699,0.00039371874,0.0,0.25,3.4471726,3.484136,1.805032,-3.0423174,11.011342,4.5686216,0.2482512,0.698529411764704,0.07720988037905845,27.999046,1.2437415,True,cTECs vs Rest,cTECs,Rest
Prss16,0.9814,0.01859999999999995,3.965818015491911,0.005432089,0.00011951033,0.0,0.25,4.3186674,3.9016829,2.7177956,-3.3754377,12.309827,22.247538,0.28972906,0.5906862745098024,0.14401118533478488,81.06669,1.1176949,True,cTECs vs Rest,cTECs,Rest
