,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Nhs,0.9892,0.010800000000000032,4.517349485700766,0.006912763,0.0009224533,0.0,0.25,3.4889433,3.5302062,1.5841961,-1.2676849,9.721968,4.637175,1.2180074,0.7752212389380495,0.33041401273886745,91.01469,6.8613787,True,precursor TECs vs Rest,precursor TECs,Rest
Frmd4a,0.9878,0.012199999999999989,4.394043486819026,0.0053366455,0.00066175364,0.0,0.25,4.049436,4.2400203,1.9501015,-1.910677,11.526142,3.097346,1.0482624,0.6743362831858395,0.34171974522294585,61.029953,5.6856413,True,precursor TECs vs Rest,precursor TECs,Rest
Adcy2,0.9874,0.012599999999999945,4.361377628344464,0.0055687265,0.00069327024,0.0,0.25,3.8216348,3.8838422,1.7999725,-1.7984161,9.262846,3.1787646,0.9350393,0.7168141592920332,0.25955414012739014,66.445076,5.59107,True,precursor TECs vs Rest,precursor TECs,Rest
Syne1,0.987,0.013000000000000012,4.329719922873182,0.0022991258,0.00031905767,0.0,0.25,3.5914755,3.6097898,1.7138934,-1.6602645,10.741004,1.2088481,0.5042968,0.5061946902654895,0.21035031847133756,26.307068,2.5166404,True,precursor TECs vs Rest,precursor TECs,Rest
Rarb,0.9868,0.01319999999999999,4.314249807621173,0.0017275618,0.00018718187,0.0,0.25,3.9704692,3.9401512,1.9796513,-3.188119,12.984154,0.78407013,0.2568463,0.29911504424778895,0.1055732484076433,16.697084,1.3110565,True,precursor TECs vs Rest,precursor TECs,Rest
Lingo2,0.9846,0.01539999999999997,4.157867318710489,0.0067156525,0.0010329315,0.0,0.25,3.2191703,3.2393153,1.5674549,-1.8051386,9.89525,4.2708015,1.8035187,0.7185840707964579,0.3014331210191172,83.52201,8.12182,True,precursor TECs vs Rest,precursor TECs,Rest
Slc24a3,0.9844,0.015599999999999947,4.14476077339445,0.0036575657,0.0004876309,0.0,0.25,3.4797566,3.6218104,1.5393255,-2.438465,8.601727,1.9628284,0.6493655,0.5575221238938068,0.2434713375796178,39.738644,3.421098,True,precursor TECs vs Rest,precursor TECs,Rest
Tenm4,0.984,0.016000000000000014,4.119036559975268,0.003139698,0.0005369792,0.0,0.25,3.0424023,3.0160775,1.4853392,-1.6231041,9.255025,2.0194654,0.73392093,0.67079646017699,0.25971337579618,40.495266,4.1281924,True,precursor TECs vs Rest,precursor TECs,Rest
Ccl21a,0.9838,0.016199999999999992,4.106410775003809,0.014872123,0.011898709,0.0,0.25,2.7124298,3.4840286,2.7927387,-8.082422,9.192907,9.55223,24.662542,0.9451327433628243,0.6297770700637603,172.51743,172.63484,True,precursor TECs vs Rest,precursor TECs,Rest
Ptprd,0.9838,0.016199999999999992,4.106410775003809,0.0057753646,0.0011279404,0.0,0.25,2.9583972,2.891786,1.5223099,-1.2247782,8.775761,3.2159317,1.7718457,0.7999999999999958,0.45461783439494,65.72159,9.433588,True,precursor TECs vs Rest,precursor TECs,Rest
Fbxl7,0.9836,0.01639999999999997,4.093937375922709,0.004060856,0.0008220298,0.0,0.25,2.6832864,2.6434777,1.3020029,-1.864501,8.53862,2.1663692,1.2957174,0.6318584070796458,0.33264331210192516,46.955338,6.2482347,True,precursor TECs vs Rest,precursor TECs,Rest
Dpp6,0.9828,0.017199999999999993,4.045495685607447,0.00865515,0.0011585739,0.0,0.25,3.7391796,3.897478,1.8130577,-2.455286,9.9604,4.976996,1.3848852,0.7132743362831837,0.2775477707006417,106.098885,9.1406,True,precursor TECs vs Rest,precursor TECs,Rest
Sema6a,0.9816,0.018399999999999972,3.9768326954910993,0.002218123,0.00034770323,0.0,0.25,3.0844688,3.0919147,1.5841802,-2.0786734,8.754805,1.0814149,0.44442394,0.47079646017699384,0.19601910828025476,22.612507,2.2772057,True,precursor TECs vs Rest,precursor TECs,Rest
Hs3st4,0.9814,0.01859999999999995,3.965818015491911,0.0015199871,0.00021554582,0.0,0.25,3.982579,4.027033,2.17309,-1.7652292,11.338616,0.81061876,0.23232429,0.3309734513274352,0.08248407643312101,15.999394,1.3743047,True,precursor TECs vs Rest,precursor TECs,Rest
Dnm3,0.9812,0.01880000000000004,3.9549189208252784,0.0019412817,0.00034940155,0.0,0.25,2.9393005,2.9477897,1.4371305,-1.6968212,9.891566,0.9150432,0.62707233,0.44070796460177236,0.2815286624203876,19.944748,3.088132,True,precursor TECs vs Rest,precursor TECs,Rest
Camk4,0.9806,0.019399999999999973,3.9228910578819054,0.0030497352,0.0005851402,0.0,0.25,2.96787,2.9474645,1.6149893,-1.4516535,9.550275,1.695573,0.9296309,0.5876106194690274,0.3476114649681698,33.211407,4.237891,True,precursor TECs vs Rest,precursor TECs,Rest
5730522E02Rik,0.9802,0.01980000000000004,3.9020741999265773,0.0010070659,0.00019574055,0.0,0.25,3.035175,2.850152,1.7310776,-2.1109018,11.441751,0.46371663,0.25413913,0.23008849557522204,0.10636942675159235,9.5190735,1.1243185,True,precursor TECs vs Rest,precursor TECs,Rest
Trabd2b,0.9798,0.020199999999999996,3.8816653799540974,0.00080548116,0.00012797106,0.0,0.25,3.1677427,3.15,1.5925213,-2.002801,10.446826,0.41061935,0.18519026,0.24424778761062038,0.09267515923566878,9.243668,0.8396066,True,precursor TECs vs Rest,precursor TECs,Rest
Schip1,0.9794,0.02059999999999995,3.8616485882462412,0.0025861885,0.00046537395,0.0,0.25,2.9854028,3.073223,1.4705609,-2.098135,7.9853964,1.3663698,0.7522356,0.5345132743362853,0.3205414012738976,27.485733,3.6770215,True,precursor TECs vs Rest,precursor TECs,Rest
Zmat4,0.9788,0.021199999999999997,3.83232568840914,0.0014843198,0.00016116585,0.0,0.25,3.6538808,3.6595044,2.1177697,-4.0352736,11.839687,0.74159276,0.27006269,0.22123893805309808,0.10812101910828024,16.160255,1.208575,True,precursor TECs vs Rest,precursor TECs,Rest
Airn,0.9788,0.021199999999999997,3.83232568840914,0.0034413002,0.0006557172,0.0,0.25,2.9287083,2.9098592,1.5206119,-1.6065702,9.162159,1.8672535,0.91704994,0.576991150442479,0.3355095541401422,38.5929,5.1262264,True,precursor TECs vs Rest,precursor TECs,Rest
